Living Type,House,Diet,How Often Water,Heating Energy Source,Transport,Buying Activity,Frequency Traveling Air,Waste Bag Weekly Count,Energy Efficiency,Recycling,Cooking With,Total,Vehicle Monthly Distance
yes,large,vegan,7,gas,public,10,10,7,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",66,1586
no,large,omnivore,7,gas,bikewalk,5,10,3,No,['Paper'],"['Stove', 'Oven']",66,11
yes,large,vegetarian,7,gas,bikewalk,5,5,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",28,72
yes,small,vegetarian,7,electricity,public,5,5,5,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",50,1157
no,small,pescatarian,7,gas,public,10,5,4,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",48,1380
yes,small,vegetarian,3,electricity,gasoline,10,5,5,No,['Paper'],"['Stove', 'Oven']",99,5765
yes,large,vegetarian,3,gas,bikewalk,5,10,6,Yes,['Paper'],"['Grill', 'Airfryer']",41,92
yes,small,pescatarian,3,electricity,gasoline,5,10,7,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",93,7797
no,large,vegan,7,electricity,bikewalk,10,10,3,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",20,50
no,large,vegetarian,7,gas,gasoline,10,10,1,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",98,7629
yes,small,vegetarian,7,gas,gasoline,10,10,3,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",106,2367
yes,large,omnivore,7,gas,gasoline,10,10,1,Yes,"['Paper', 'Plastic']",['Oven'],80,3960
yes,large,vegan,7,coal,bikewalk,10,5,2,Yes,"['Plastic', 'Metal']",['Oven'],4,42
no,large,omnivore,7,coal,gasoline,10,5,1,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",78,6455
yes,large,vegetarian,7,electricity,bikewalk,5,10,4,Yes,['Paper'],['Microwave'],12,41
yes,large,pescatarian,7,gas,bikewalk,10,5,1,Yes,"['Plastic', 'Glass']",['Microwave'],-6,71
yes,small,vegetarian,7,gas,bikewalk,5,5,7,No,"['Plastic', 'Glass']",['Oven'],36,39
yes,large,vegetarian,7,coal,bikewalk,5,10,1,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",48,50
yes,large,vegan,7,gas,gasoline,10,10,3,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",86,8707
yes,large,pescatarian,7,electricity,gasoline,10,10,2,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",78,167
yes,large,pescatarian,7,gas,public,10,10,7,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",56,631
yes,small,vegan,7,electricity,public,5,5,6,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",34,194
no,large,omnivore,7,coal,bikewalk,10,5,1,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",28,46
yes,small,vegetarian,7,gas,bikewalk,5,10,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",16,37
yes,small,vegetarian,3,gas,bikewalk,10,5,2,Yes,"['Glass', 'Metal']","['Grill', 'Airfryer']",-15,31
no,small,vegan,7,coal,electric,10,5,5,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",46,2880
yes,large,pescatarian,3,gas,electric,10,5,2,Yes,['Paper'],['Stove'],27,6
no,large,pescatarian,7,coal,electric,10,10,6,Yes,['Glass'],"['Stove', 'Microwave']",94,40
yes,small,vegan,7,gas,electric,5,10,6,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",70,1
yes,large,vegetarian,7,electricity,electric,10,5,1,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",12,1341
no,large,pescatarian,7,electricity,electric,10,10,3,No,"['Paper', 'Metal']","['Stove', 'Microwave']",70,393
yes,large,vegan,7,gas,electric,5,10,4,Yes,"['Plastic', 'Glass']",['Microwave'],36,191
yes,large,pescatarian,7,coal,electric,10,10,1,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",74,131
no,small,omnivore,7,gas,gasoline,10,10,5,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",110,1419
no,large,vegan,7,electricity,gasoline,5,5,7,No,['Paper'],['Microwave'],96,9159
yes,small,vegetarian,7,gas,gasoline,5,5,3,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",72,8016
yes,large,omnivore,7,electricity,bikewalk,5,5,3,No,['Plastic'],['Microwave'],16,87
no,large,vegan,7,gas,bikewalk,5,5,5,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",32,3
no,large,omnivore,7,gas,bikewalk,10,10,1,Yes,"['Paper', 'Glass']",['Microwave'],22,13
no,large,omnivore,7,electricity,bikewalk,5,5,3,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",18,74
no,large,pescatarian,7,gas,gasoline,5,10,3,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",104,7743
no,large,vegan,7,gas,public,5,5,7,Yes,"['Paper', 'Plastic', 'Glass']",['Microwave'],38,993
yes,large,omnivore,7,coal,public,10,5,4,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",56,1997
yes,large,omnivore,7,coal,gasoline,5,5,6,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",122,2721
no,large,vegetarian,7,coal,bikewalk,10,5,7,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",48,5
yes,small,vegan,7,gas,public,10,5,1,No,"['Plastic', 'Metal']","['Stove', 'Oven']",38,941
no,small,vegan,7,coal,gasoline,10,10,2,Yes,['Metal'],['Microwave'],84,8815
no,large,pescatarian,7,gas,gasoline,10,5,1,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",82,3276
yes,small,vegan,7,electricity,gasoline,10,5,5,Yes,['Paper'],['Microwave'],68,3309
yes,small,pescatarian,7,gas,gasoline,10,5,2,No,"['Glass', 'Metal']",['Microwave'],68,2623
yes,large,omnivore,7,electricity,gasoline,10,10,1,Yes,"['Paper', 'Plastic']","['Stove', 'Oven']",80,7915
no,small,vegan,3,electricity,gasoline,10,10,3,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",73,8897
no,large,vegetarian,7,gas,bikewalk,10,5,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",4,19
no,small,omnivore,7,gas,gasoline,10,10,2,Yes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",76,3662
yes,small,vegan,7,coal,gasoline,5,5,6,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",86,611
yes,small,omnivore,7,gas,public,5,10,6,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",64,1431
no,small,pescatarian,7,gas,public,10,5,3,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",28,1978
no,small,vegan,7,electricity,bikewalk,10,10,2,No,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",34,92
yes,small,omnivore,7,coal,bikewalk,10,10,1,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",50,82
yes,large,pescatarian,7,coal,public,5,10,7,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],80,1851
no,large,vegetarian,7,gas,public,10,5,3,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",38,1224
yes,small,pescatarian,7,gas,gasoline,10,5,5,Yes,['Glass'],"['Stove', 'Oven']",96,8219
yes,large,omnivore,3,coal,public,10,5,4,No,['Metal'],"['Microwave', 'Grill', 'Airfryer']",55,1390
yes,small,vegan,3,gas,electric,10,10,1,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",49,434
no,small,vegan,3,gas,electric,10,5,6,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",39,7460
no,large,vegan,7,gas,electric,5,5,1,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",16,15
no,small,vegetarian,3,gas,electric,5,10,2,No,"['Paper', 'Plastic', 'Glass']",['Microwave'],39,4686
no,large,vegetarian,7,electricity,electric,10,5,5,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",34,88
no,large,pescatarian,3,electricity,electric,10,10,2,Yes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",21,40
no,small,pescatarian,7,gas,electric,5,5,6,No,"['Paper', 'Glass']",['Oven'],64,56
yes,large,vegan,3,coal,electric,10,10,6,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",75,14
no,small,vegan,3,gas,gasoline,10,10,1,No,"['Paper', 'Plastic']",['Stove'],99,108
yes,large,omnivore,3,gas,gasoline,10,5,3,No,"['Paper', 'Plastic']","['Stove', 'Oven']",95,5168
no,small,vegan,7,coal,gasoline,5,10,3,No,"['Paper', 'Plastic', 'Metal']",['Stove'],116,672
yes,large,vegan,3,gas,bikewalk,10,10,3,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",29,94
yes,large,vegetarian,7,gas,gasoline,10,5,3,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",76,3114
no,large,vegetarian,7,gas,gasoline,5,5,2,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",50,7134
yes,large,vegan,7,coal,gasoline,10,5,6,Yes,"['Paper', 'Plastic']",['Oven'],94,8609
no,large,omnivore,3,gas,public,10,5,1,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",47,852
yes,small,vegetarian,3,gas,public,5,5,6,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",27,1673
no,large,vegetarian,7,coal,public,10,10,7,Yes,"['Plastic', 'Glass', 'Metal']",['Oven'],78,1564
no,large,vegan,7,gas,bikewalk,10,5,7,Yes,['Glass'],['Stove'],44,74
no,large,omnivore,7,gas,gasoline,10,5,4,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",86,2885
no,small,vegan,7,gas,gasoline,5,5,7,Yes,"['Plastic', 'Metal']",['Oven'],80,8130
yes,large,vegetarian,7,gas,public,10,10,3,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",68,228
no,large,vegetarian,7,gas,public,10,5,4,Yes,"['Paper', 'Metal']","['Oven', 'Microwave']",28,1162
no,small,pescatarian,3,gas,public,5,5,2,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",21,71
yes,large,omnivore,7,gas,gasoline,5,10,4,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",86,6337
no,small,vegan,7,gas,public,5,5,4,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",22,1649
no,large,omnivore,7,gas,gasoline,10,10,2,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",88,6159
yes,small,omnivore,7,electricity,gasoline,10,5,1,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",44,9884
no,small,vegan,7,gas,gasoline,10,10,7,No,"['Glass', 'Metal']","['Oven', 'Microwave']",120,4060
no,large,omnivore,7,gas,bikewalk,10,5,7,Yes,"['Paper', 'Glass']","['Grill', 'Airfryer']",36,68
yes,small,pescatarian,3,gas,bikewalk,5,10,7,No,['Glass'],"['Grill', 'Airfryer']",57,5
no,large,pescatarian,7,gas,public,10,5,4,Yes,['Metal'],"['Oven', 'Microwave']",34,702
no,small,vegan,3,coal,bikewalk,10,10,4,No,"['Plastic', 'Metal']","['Stove', 'Microwave']",55,2
yes,large,omnivore,3,coal,bikewalk,10,5,1,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",17,42
no,large,omnivore,3,coal,public,5,5,5,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",71,274
no,large,omnivore,3,coal,public,10,10,3,No,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",91,590
yes,small,vegetarian,7,gas,gasoline,10,10,1,Yes,['Paper'],"['Oven', 'Microwave']",70,84
no,large,pescatarian,3,coal,gasoline,10,10,3,Yes,['Paper'],"['Grill', 'Airfryer']",103,6908
no,large,omnivore,7,gas,bikewalk,10,5,7,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",38,52
yes,large,vegetarian,7,gas,gasoline,5,10,2,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",64,121
yes,small,omnivore,3,gas,bikewalk,5,5,7,Yes,"['Paper', 'Metal']",['Oven'],15,30
yes,small,vegan,7,electricity,public,5,5,4,Yes,['Glass'],['Stove'],18,1336
yes,small,omnivore,3,electricity,bikewalk,10,5,4,Yes,['Glass'],['Oven'],-7,89
no,small,pescatarian,3,gas,electric,5,5,6,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],35,1412
yes,small,vegetarian,7,electricity,electric,5,5,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",6,4
yes,large,pescatarian,7,coal,electric,10,5,1,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",46,1924
no,large,pescatarian,7,gas,electric,5,5,2,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",42,64
yes,small,vegan,7,gas,electric,10,5,1,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",14,8659
no,large,pescatarian,7,coal,electric,10,5,1,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",44,82
no,large,vegan,3,electricity,electric,10,10,4,No,"['Paper', 'Glass']",['Stove'],65,31
no,small,omnivore,7,gas,electric,5,5,3,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",28,5230
no,large,omnivore,7,electricity,gasoline,5,10,4,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",98,450
no,small,vegetarian,7,coal,public,10,10,2,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",52,441
yes,large,vegetarian,7,gas,gasoline,5,5,2,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",74,6160
yes,large,vegan,7,coal,bikewalk,10,10,4,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",44,35
yes,small,pescatarian,3,gas,bikewalk,10,10,6,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",41,57
no,small,vegetarian,7,gas,bikewalk,10,10,3,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",22,7
no,small,pescatarian,3,gas,gasoline,5,10,4,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",105,5469
no,large,pescatarian,7,gas,bikewalk,10,10,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",32,6
yes,small,omnivore,7,coal,public,10,10,3,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],50,21
no,small,vegetarian,7,coal,public,10,5,1,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",38,1127
no,large,omnivore,7,coal,bikewalk,5,5,2,No,"['Paper', 'Glass']",['Oven'],32,7
no,large,vegetarian,7,coal,gasoline,10,10,3,No,['Metal'],['Oven'],126,6028
no,small,vegan,7,gas,gasoline,10,5,3,Yes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",64,1669
yes,small,pescatarian,3,gas,public,10,5,6,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",47,1972
no,large,omnivore,3,electricity,public,10,5,6,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",57,684
yes,small,omnivore,7,coal,bikewalk,10,10,4,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",44,13
no,small,vegan,7,coal,gasoline,10,10,7,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",116,8061
no,large,vegan,7,coal,gasoline,10,5,7,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",98,2544
no,small,vegetarian,7,electricity,bikewalk,10,5,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",-12,46
no,small,pescatarian,7,electricity,public,10,10,1,No,['Paper'],['Oven'],52,62
no,small,vegan,3,gas,gasoline,10,10,4,Yes,['Plastic'],['Microwave'],79,4447
no,small,pescatarian,7,gas,gasoline,10,5,7,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",94,4303
yes,small,vegan,7,electricity,gasoline,10,10,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",90,3176
no,small,pescatarian,7,gas,gasoline,5,5,2,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",58,7255
yes,small,vegan,3,gas,bikewalk,10,10,7,No,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",67,62
